parameter_name,Contact righting
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
mouse_strain,C57BL
analysis_id,u07sp2wgx18a5es
parameter_id,JAXLA_CSD_077_001
pvalue,0.153334
gene_symbol,Col6a3
