gene_symbol,Hspa5
mouse_life_stage,E12.5
analysis_id,8q9665i5jo07642
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_name,lens opacity
pvalue,0.5717279
parameter_id,M-G-P_014_001_010
