analysis_id,3x0y3o35olb34l1
mouse_strain,C57BL
pvalue,0.9825376
mouse_life_stage,Early adult
parameter_id,MGP_IMM_073_001
gene_symbol,Kif24
gene_accession_id,MGI:1918345
parameter_name,Effector CD4+ T helper cells - % of CD45+
