analysis_id,772yg3s04w0mi87
mouse_life_stage,Early adult
pvalue,0.613268
parameter_name,Total NK cells - % of CD45+
gene_symbol,Tox
mouse_strain,C57BL
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:2181659
