parameter_name,Snout morphology
analysis_id,et898pp40m88qe4
parameter_id,MGP_CSD_066_001
gene_symbol,Gja10
mouse_life_stage,Early adult
pvalue,0.991657
mouse_strain,C57BL
gene_accession_id,MGI:1339969
