gene_symbol,Zfp683
gene_accession_id,MGI:3650254
parameter_id,MGP_IMM_130_001
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
analysis_id,94m214p62531z53
pvalue,0.6293551
