parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
pvalue,0.804058
analysis_id,qm9go522s2knh0a
parameter_name,Snout morphology
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
mouse_strain,C57BL
