analysis_id,j3lg1c2u20n2568
pvalue,0.1720429
parameter_id,MGP_IMM_089_001
gene_accession_id,MGI:2673000
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Trim46
