analysis_id,519otjjhj17wf26
gene_accession_id,MGI:88479
parameter_name,Time mobile dark side
mouse_strain,C57BL
pvalue,0.8220013
gene_symbol,Cpa3
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
