parameter_name,PQ
gene_symbol,Eprs1
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:97838
pvalue,0.8413162
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,4ywuwlt1p06ig97
