gene_symbol,Rufy4
gene_accession_id,MGI:3588214
pvalue,0.8572583
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,gvy80op8i75j48r
