analysis_id,5tm88m67392820q
pvalue,0.2548453
mouse_strain,C57BL
parameter_id,IMPC_HEM_038_001
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
gene_symbol,Tatdn3
parameter_name,Basophil differential count
