parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:1931322
parameter_name,Tremor
gene_symbol,Car13
pvalue,0.5176633
mouse_strain,C57BL
analysis_id,y46gfbu7m3i04qk
mouse_life_stage,Early adult
