parameter_id,M-G-P_007_001_010
gene_symbol,Dnajc5b
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1c7p514se15q5b0
gene_accession_id,MGI:1913576
parameter_name,center - distance
pvalue,0.8780593
