gene_symbol,Cmpk1
analysis_id,s69t74tli42hk8j
gene_accession_id,MGI:1913838
parameter_name,% Freezing duration pre-cue-2
pvalue,0.7155715
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ICS_FEA_019_001
