parameter_name,Spleen weight
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
parameter_id,UCD_OWT_003_001
analysis_id,6r4mi7jf53e599k
pvalue,0.975139
gene_symbol,Lcn2
mouse_strain,C57BL
