analysis_id,7o58qnabrekxv09
parameter_id,IMPC_CBC_012_001
mouse_life_stage,Late adult
parameter_name,Aspartate aminotransferase
gene_accession_id,MGI:1934811
pvalue,0.313419
gene_symbol,Nucks1
mouse_strain,C57BL
