analysis_id,xv5v8uv9t6qy802
pvalue,0.7989515
parameter_name,B1B Cells
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_id,IMPC_IMM_064_001
mouse_life_stage,Early adult
