analysis_id,xu51h499n0c1jh3
mouse_strain,C57BL
pvalue,0.1909521
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
