gene_symbol,Bmi1
parameter_name,Fasted blood glucose concentration
pvalue,0.7706964
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_id,IMPC_IPG_010_001
analysis_id,0bo8klp388vttr4
