analysis_id,502c1u6580zjqa2
mouse_strain,129SV
parameter_id,HMGULA_CBC_005_001
mouse_life_stage,Early adult
parameter_name,Creatinine
gene_symbol,Arpc2
pvalue,0.8206374
gene_accession_id,MGI:1923959
