analysis_id,w4xit4j5cd11u4v
mouse_life_stage,Middle aged adult
pvalue,0.1381895
gene_symbol,Secisbp2l
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
parameter_name,Thyroxine
gene_accession_id,MGI:1917604
