gene_symbol,Pglyrp3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685266
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_IMM_010_001
analysis_id,w62d64vdt2i5f4s
pvalue,0.5757497
