analysis_id,99sz1t059vrp2sb
mouse_strain,129SV
parameter_id,MGP_PBI_018_001
mouse_life_stage,Early adult
pvalue,0.6318881
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_name,Ly6Clow monocyte percentage
