parameter_name,Embryo turning
gene_symbol,Psmd14
mouse_strain,C57BL
analysis_id,t4rpr52yf4z64h5
pvalue,0.2134598
gene_accession_id,MGI:1913284
parameter_id,IMPC_GEL_011_001
mouse_life_stage,Early adult
