gene_symbol,Bmp7
analysis_id,8l7j23lo2024869
gene_accession_id,MGI:103302
parameter_id,JAX_OFD_020_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.291806
parameter_name,Distance travelled - total
