parameter_name,Head morphology
pvalue,0.2060086
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
analysis_id,1100glk2v1mb4mx
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_life_stage,Early adult
