gene_symbol,Slx4ip
parameter_name,eye size
parameter_id,ESLIM_001_001_117
gene_accession_id,MGI:1921493
pvalue,0.6644754
analysis_id,02zpg12ac40b349
mouse_strain,C57BL
mouse_life_stage,Early adult
