parameter_name,Ly6Clow monocyte number
pvalue,0.6099447
gene_symbol,BCS1L
analysis_id,14872f926x9829o
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
