analysis_id,kop8nh0xmkzn4yh
pvalue,0.4255353
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
mouse_strain,C57BL
