parameter_id,UCD_OWT_008_001
pvalue,0.8173374
mouse_strain,C3H
mouse_life_stage,Early adult
parameter_name,Liver weight
analysis_id,3091wj826wbf971
gene_symbol,Mecom
gene_accession_id,MGI:95457
