parameter_name,Body weight
mouse_life_stage,E12.5
gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_id,M-G-P_009_001_003
analysis_id,pd8no4891l219se
mouse_strain,C57BL
pvalue,0.1922989
