analysis_id,4d8e523b56d8193
mouse_strain,C57BL
gene_symbol,F2
pvalue,0.4957078
parameter_id,MGP_IMM_081_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:88380
