parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Early adult
analysis_id,i910902c13m9885
gene_symbol,Dnajc5b
pvalue,0.1176931
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_id,MGP_PBI_018_001
