analysis_id,w7262021nqoqfk7
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
pvalue,0.5786656
parameter_id,MGP_IMM_121_001
mouse_life_stage,Early adult
parameter_name,Macrophages - % of CD45+
mouse_strain,129SV
