analysis_id,0n6ih1b92k1eb13
parameter_name,% Pre-pulse inhibition - PPI2
mouse_strain,C57BL
parameter_id,IMPC_ACS_034_001
gene_symbol,Zfp683
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
pvalue,0.5185318
