analysis_id,uf7494s12v044ib
parameter_name,Radius
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2614192
