gene_symbol,Atrn
pvalue,0.5279128
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
mouse_strain,C57BL
analysis_id,42f7x8f1d259qj3
parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
