analysis_id,3hl727h772d7lp4
mouse_life_stage,Early adult
gene_symbol,Car13
gene_accession_id,MGI:1931322
parameter_id,JAX_OFD_021_001
parameter_name,Number of rears - total
pvalue,0.4719321
mouse_strain,C57BL
