parameter_name,Lumbar processes
analysis_id,t8g34au6i74zg1g
pvalue,1.037876
mouse_strain,C57BL
parameter_id,IMPC_XRY_065_001
gene_symbol,Col6a3
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
