parameter_name,Sacral processes
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
gene_symbol,ZC2HC1A
pvalue,0.4050482
gene_accession_id,MGI:1914556
analysis_id,uw9l3o55nt10mkm
mouse_strain,C57BL
