analysis_id,59267kh7t9i96v7
pvalue,0.2482525
gene_symbol,Casq1
mouse_life_stage,Early adult
parameter_name,Basophil cell count
parameter_id,IMPC_HEM_037_001
gene_accession_id,MGI:1309468
mouse_strain,C57BL
