parameter_name,Ly6Clow monocyte number
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
gene_symbol,MAPKAP1
parameter_id,MGP_PBI_038_001
analysis_id,4887v3kq063y9y0
pvalue,0.8681424
mouse_strain,C57BL
