parameter_name,Alkaline phosphatase
gene_symbol,Mecom
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
parameter_id,IMPC_CBC_014_001
analysis_id,i177s935fa74b34
mouse_strain,C3H
pvalue,0.05488724
