parameter_id,IMPC_LDT_008_001
analysis_id,8l6fmq82d0wecoq
gene_symbol,AU040320
pvalue,0.8362061
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Percent time in light
