gene_symbol,Trpa1
parameter_id,IMPC_HEM_003_001
pvalue,0.3436354
mouse_life_stage,Early adult
analysis_id,6hix2uw1za86nl3
gene_accession_id,MGI:3522699
mouse_strain,C57BL
parameter_name,Hemoglobin
