pvalue,0.666621
gene_symbol,HSPA5
parameter_id,M-G-P_008_001_013
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,h330o49u2488982
parameter_name,Startle Response
gene_accession_id,MGI:95835
