analysis_id,6b2g84056a623z1
pvalue,0.3534099
parameter_id,IMPC_XRY_065_001
gene_symbol,Bcs1l
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_name,Lumbar processes
