gene_symbol,Inpp1
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:104848
analysis_id,u3w9zp5dn79r4k7
pvalue,0.5583137
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
mouse_strain,C57BL
