parameter_name,Calcium
pvalue,0.3156583
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_009_001
analysis_id,84w1qv7wo3i3k49
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
