mouse_strain,C57BL
gene_accession_id,MGI:95576
parameter_id,JAXLA_DXA_003_001
gene_symbol,Fpgs
analysis_id,5l3ha6k7cgd86wf
pvalue,0.2133213
parameter_name,Lean mass
mouse_life_stage,Early adult
