analysis_id,519882x3n62kpm4
parameter_name,Forelimb grip strength normalised against body weight
pvalue,0.5503859
mouse_life_stage,Early adult
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,HRWLLA_GRS_010_001
