analysis_id,e27ey7mm03477v0
mouse_strain,C55BL
parameter_name,IgD+ mature B cell number
gene_symbol,Mgst2
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
parameter_id,MGP_PBI_035_001
pvalue,0.5113154
