analysis_id,9195480x481l9cy
pvalue,0.569561
parameter_name,eye size
parameter_id,ESLIM_001_001_117
mouse_strain,C57BL
gene_accession_id,MGI:1339969
gene_symbol,Gja10
mouse_life_stage,Early adult
