analysis_id,2z45xqbmc4308h1
pvalue,0.3506002
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
gene_symbol,Kif24
parameter_name,Total bilirubin
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
