analysis_id,1gp7tm01x9hqi30
mouse_life_stage,Late adult
gene_symbol,AU040320
pvalue,0.3206644
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_id,HRWLLA_OFD_007_001
parameter_name,Whole arena resting time
