parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_name,Right kidney weight
pvalue,0.1414384
mouse_life_stage,E9.5
analysis_id,ws08c79sb4qh45g
gene_symbol,Bcs1l
