analysis_id,85in7623683yar4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Eosinophils
gene_accession_id,MGI:1931749
gene_symbol,Pum1
pvalue,0.4664729
parameter_id,IMPC_IMM_052_001
