analysis_id,0ozz8zizff77kn0
mouse_life_stage,Early adult
gene_symbol,Zcchc2
pvalue,0.5113187
mouse_strain,C57BL
gene_accession_id,MGI:2444114
parameter_name,Dark side time spent
parameter_id,JAX_LDT_004_001
