parameter_name,Retina (combined)
gene_symbol,Mecom
analysis_id,79t2h282b9bz52q
mouse_strain,C3H
gene_accession_id,MGI:95457
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
pvalue,0.7389524
