gene_symbol,Rgs20
pvalue,0.5650385
mouse_life_stage,Early adult
parameter_name,IgD+ mature B cell number
mouse_strain,C57BL
parameter_id,MGP_PBI_035_001
gene_accession_id,MGI:1929866
analysis_id,a62z2c64972k809
