gene_symbol,Gbp7
analysis_id,1s78bn48pn5l836
gene_accession_id,MGI:2444421
mouse_life_stage,Early adult
pvalue,0.1102073
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of cDC
parameter_id,MGP_IMM_067_001
