analysis_id,xd86fwk5ys861ok
mouse_strain,C57BL
gene_symbol,Ola1
gene_accession_id,MGI:1914309
pvalue,0.5610838
mouse_life_stage,E18.5
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
