analysis_id,9q01q7kjyau44e3
pvalue,0.75994
parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
gene_symbol,Tiprl
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
